Statement,Web,Label
Big Story,https://www.ndtv.com/,True
"Heavy Rain In Parts Of Bengaluru, 14 Flights Diverted, Roads Waterlogged",https://www.ndtv.com/,True
Top Stories,https://www.ndtv.com/,True
IPL 2023 Live: Nortje Gets Saha To Dent GT's Start In 163-Run Chase vs DC | Live Scorecard,https://www.ndtv.com/,True
"""Couldn't Bear To See Indian-Hindu..."": Student's Charge At UK University",https://www.ndtv.com/,True
"Shashi Tharoor Targets Centre Over ""Mother Of Democracy"" Slogan",https://www.ndtv.com/,True
"Video Calls Himanta Sarma ""Copy Paste BJP CM"". How He Reacted",https://www.ndtv.com/,True
"After Dhoni's ""New Captain"" Outburst, CSK Pacer Reacts On No-Ball Episode",https://www.ndtv.com/,True
"Nagpur Man Dies By Suicide, Live-Streams It On Wife's Facebook Account",https://www.ndtv.com/,True
Pakistani Rupee Falls To All-Time Low Of 287.29 Against US Dollar,https://www.ndtv.com/,True
"""Invented Names"": India Rejects China 'Renaming' Places In Arunachal",https://www.ndtv.com/,True
"2 Dead As Home Theatre Music System, A Wedding Gift, Explodes, 4 Injured",https://www.ndtv.com/,True
"""...If We Were Some Faaltu Team"": Kohli's Blunt Take On RCB's IPL Status",https://www.ndtv.com/,True
,https://www.ndtv.com/,True
"Trump In Court Today, To Be Charged, Finger-Printed, Have Mug Shot Taken | Live Updates",https://www.ndtv.com/,True
,https://www.ndtv.com/,True
"New Covid Cases Up By 186% In Maharashtra, 4 Deaths In 24 Hours",https://www.ndtv.com/,True
7 Tourists Dead In Massive Avalanche Near High Mountain Pass In Sikkim,https://www.ndtv.com/,True
"""Refrain From.."": JP Nadda To BJP Social Media Teams",https://www.ndtv.com/,True
"""Textbooks Revised Because..."": Top Official On Mughals Being Dropped",https://www.ndtv.com/,True
,https://www.ndtv.com/,True
Rents Double In Bengaluru As Engineers Fight For Flats,https://www.ndtv.com/,True
"Joe Biden Speaks To Artemis II Astronauts, Invites Them To White House",https://www.ndtv.com/,True
"Priyanka Chopra's Daughter Malti Marie Is A ""Real Chopra"". Here's Why",https://www.ndtv.com/,True
He Stabbed Woman 100 Times. Their Son's Body Found In Alligator's Mouth,https://www.ndtv.com/,True
"""Much More Than Who She Dated"": Zeenat Aman On Parveen Babi",https://www.ndtv.com/,True
"Bengaluru Man Buys Abu Dhabi Lottery Ticket Online, Wins Rs 44 Crore",https://www.ndtv.com/,True
Watch: Rishabh Pant Attends Delhi Capitals' First IPL 2023 Home Match,https://www.ndtv.com/,True
Watch: Dhoni's Birthday Wish For Bravo's Mom Is Cutest Video On Internet,https://www.ndtv.com/,True
#KarnatakaElections2023,https://www.ndtv.com/,True
Opinion,https://www.ndtv.com/,True
ICYMI,https://www.ndtv.com/,True
Celebs,https://www.ndtv.com/,True
"Shanaya And Her ""New Hat"" Gets Childhood BFF Ananya's Approval",https://www.ndtv.com/,True
entertainment,https://www.ndtv.com/,True
Jackie Shroff Won The Red Carpet And Twitter's Busy Planting (Nice) Memes,https://www.ndtv.com/,True
Style,https://www.ndtv.com/,True
Disco Fever Lives On And Nysa Devgan's Silver Gown Deserves The Credit,https://www.ndtv.com/,True
Cricket,https://www.ndtv.com/,True
IPL 2023: KL Rahul's Flop Show Sees Fans Flood Social Media With Memes,https://www.ndtv.com/,True
Bollywood,https://www.ndtv.com/,True
"Shiamak Davar Says Controversial Varun-Gigi Performance Was ""Her Idea""",https://www.ndtv.com/,True
Trending,https://www.ndtv.com/,True
IPL 2023,https://www.ndtv.com/,True
"""Will Have To Play Under New Captain"": Fuming Dhoni Warns CSK. Here's Why",https://www.ndtv.com/,True
"""Dhoni Will Ask What Difference It Makes?"" Sehwag On 'IPL Milestone'",https://www.ndtv.com/,True
Yet Another Injury Blow For RCB! Top-Order Batter Ruled Out Of IPL 2023,https://www.ndtv.com/,True
Gambhir Trends On Twitter As Dhoni's CSK Beat Rahul's LSG In Chepauk,https://www.ndtv.com/,True
IPL 2023: No-Ball Scare Nearly Costs CSK Match Against LSG,https://www.ndtv.com/,True
MS Dhoni's Six Make Crowd Go Berserk In IPL Opener - See Pics,https://www.ndtv.com/,True
IPL 2023: 5 Oldest Players In The History Of IPL,https://www.ndtv.com/,True
IPL 2023: 5 Big Names Who Will Miss Tournament Due To Injury,https://www.ndtv.com/,True
Virat Kohli-Du Plessis Blockbuster Enthrals RCB Fans,https://www.ndtv.com/,True
Fans Celebrate As LSG Beat Delhi Capitals By 50 Runs,https://www.ndtv.com/,True
MS Dhoni Not Retiring At The End Of IPL 2023: Irfan Pathan,https://www.ndtv.com/,True
"GT, CSK Players Hit The Nets Ahead Of IPL 2023 Opener",https://www.ndtv.com/,True
Tech,https://www.ndtv.com/,True
OnePlus Nord CE 3 Lite 5G Launched in India at This Price,https://www.ndtv.com/,True
"OnePlus Nord Buds 2 With ANC, Bluetooth 5.3 Debut in India",https://www.ndtv.com/,True
Xiaomi 13 Ultra Tipped to Get This SoC and Quad Rear Cameras,https://www.ndtv.com/,True
Poco C51 May Launch in India on This Date,https://www.ndtv.com/,True
Reviews,https://www.ndtv.com/,True
OnePlus Nord Buds 2 First Impressions,https://www.ndtv.com/,True
Xiaomi TV Stick 4K,https://www.ndtv.com/,True
हिंदी,https://www.ndtv.com/,True
"वैज्ञानिकों ने खोजा सबसे पुराना Black Hole, हमारे सूर्य से भी 1 करोड़ गुना बड़ा",https://www.ndtv.com/,True
"Samsung Galaxy A24 होगा 6.5 इंच डिस्प्ले, 50MP कैमरा के साथ लॉन्च, सपोर्ट पेज हुआ लाइव",https://www.ndtv.com/,True
Samsung Galaxy S23: The Compact Flagship to Beat,https://www.ndtv.com/,True
Xiaomi TV Stick 4K,https://www.ndtv.com/,True
